Year;Code;Number;Line;CreationDate;ModificationDate;Name;Value;BeneficiaryCode;BeneficiaryName;IrisCode;Sector;ActionCode;ActionName
2009;AE   ;245320;1;20090205;20090205;LA COURNEUVE 93 LA FONTENELLE;18000000;16806;SABIMMO SYNDIC ADMINISTRATION BIENS   ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245321;1;20090205;20110204;PIERREFITTE 93 LES FAUVETTES 1;1276700;48039;DUNOGUE GAFFIE                        ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245324;1;20090205;20090205;AIDE AU PARC PRIVE PREMIERE AF;8153400;9198;FONCIA MANAGO                         ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245055;1;20090203;20090203;MONTIGNY 95 SUIVI ANIMATION LE;4168800;162;COMMUNE DE MONTIGNY LES CORMEILLES    ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245276;1;20090313;20090313;DAMMARIE LES LYS 77 611 RESID BRETAGNE M. MALEK;143808;8176;SOLIHA 77 SEINE-ET-MARNE              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245046;1;20090203;20090203;CORBEIL ESSONNES 91 ETUDE PRE-;1505040;1096;COMMUNE DE CORBEIL ESSONNES           ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245051;1;20090203;20090203;GONESSE 95 ETUDE PRE-OPERA COP;2124000;126;COMMUNE DE GONESSE                    ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245053;1;20090203;20090203;BONDY 93 ETUDE PRE OPERA COPRO;2382000;1244;COMMUNE DE BONDY                      ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245058;1;20090203;20090203;LES MUREAUX 78 SUIVI ANIMATION;5600659;664;COMMUNE DES MUREAUX                   ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245059;1;20090203;20090203;LES MUREAUX 78 SUIVI ANIMATION;10650888;664;COMMUNE DES MUREAUX                   ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245060;1;20090203;20090203;LE MES/SEINE 77 ETUDE PRE OPER;1300000;473;COMMUNE DE LE MEE SUR SEINE           ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245061;1;20090203;20090203;SEVRAN SUIVI ANIMATION OPAH CO;25194000;1268;COMMUNE DE SEVRAN MAIRIE              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245063;1;20090203;20090203;NOISY LE GRD 93 SUIVI ANIMATIO;10203000;1274;COMMUNE DE NOISY LE GRAND             ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245065;1;20090203;20090203;LA COURNEUVE 93 FRAIS DE GESTI;134876;16806;SABIMMO SYNDIC ADMINISTRATION BIENS   ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
